score,frequency,class
-0.371336505,0.001127358,Common_Cancer_Missense
-0.369094646,0.001187885,Common_Cancer_Missense
-0.366852787,0.001248745,Common_Cancer_Missense
-0.364610928,0.001316662,Common_Cancer_Missense
-0.362369069,0.001385122,Common_Cancer_Missense
-0.36012721,0.001459083,Common_Cancer_Missense
-0.357885351,0.001533748,Common_Cancer_Missense
-0.355643492,0.001612918,Common_Cancer_Missense
-0.353401633,0.001693582,Common_Cancer_Missense
-0.351159774,0.00178105,Common_Cancer_Missense
-0.348917915,0.001870399,Common_Cancer_Missense
-0.346676056,0.001966225,Common_Cancer_Missense
-0.344434197,0.002063801,Common_Cancer_Missense
-0.342192338,0.002166106,Common_Cancer_Missense
-0.339950479,0.002271279,Common_Cancer_Missense
-0.33770862,0.002382685,Common_Cancer_Missense
-0.335466761,0.002498145,Common_Cancer_Missense
-0.333224902,0.002620811,Common_Cancer_Missense
-0.330983043,0.002746691,Common_Cancer_Missense
-0.328741184,0.002877291,Common_Cancer_Missense
-0.326499326,0.003012265,Common_Cancer_Missense
-0.324257467,0.003152583,Common_Cancer_Missense
-0.322015608,0.003300234,Common_Cancer_Missense
-0.319773749,0.003455363,Common_Cancer_Missense
-0.31753189,0.003615654,Common_Cancer_Missense
-0.315290031,0.003780339,Common_Cancer_Missense
-0.313048172,0.003950916,Common_Cancer_Missense
-0.310806313,0.00412567,Common_Cancer_Missense
-0.308564454,0.004312424,Common_Cancer_Missense
-0.306322595,0.004506222,Common_Cancer_Missense
-0.304080736,0.004707662,Common_Cancer_Missense
-0.301838877,0.00491278,Common_Cancer_Missense
-0.299597018,0.005126143,Common_Cancer_Missense
-0.297355159,0.005342709,Common_Cancer_Missense
-0.2951133,0.005575483,Common_Cancer_Missense
-0.292871441,0.00581323,Common_Cancer_Missense
-0.290629582,0.006062779,Common_Cancer_Missense
-0.288387723,0.006315092,Common_Cancer_Missense
-0.286145864,0.006578789,Common_Cancer_Missense
-0.283904005,0.006844413,Common_Cancer_Missense
-0.281662146,0.007129933,Common_Cancer_Missense
-0.279420287,0.00741766,Common_Cancer_Missense
-0.277178428,0.007723119,Common_Cancer_Missense
