score,frequency,class
-1.185022695,0.000188379,WT_Silent
-1.18282259,0.000209332,WT_Silent
-1.180622485,0.000230451,WT_Silent
-1.178422379,0.000255111,WT_Silent
-1.176222274,0.000280147,WT_Silent
-1.174022168,0.000308993,WT_Silent
-1.171822063,0.000338473,WT_Silent
-1.169621958,0.000372017,WT_Silent
-1.167421852,0.000406594,WT_Silent
-1.165221747,0.000445876,WT_Silent
-1.163021641,0.0004869,WT_Silent
-1.160821536,0.000533916,WT_Silent
-1.158621431,0.000582867,WT_Silent
-1.156421325,0.000637044,WT_Silent
-1.15422122,0.000693712,WT_Silent
-1.152021115,0.000755795,WT_Silent
-1.149821009,0.000821004,WT_Silent
-1.147620904,0.000891768,WT_Silent
-1.145420798,0.000966561,WT_Silent
-1.143220693,0.001047268,WT_Silent
-1.141020588,0.001134204,WT_Silent
-1.138820482,0.00122875,WT_Silent
-1.136620377,0.001329289,WT_Silent
-1.134420271,0.00143594,WT_Silent
-1.132220166,0.001549635,WT_Silent
-1.130020061,0.00166933,WT_Silent
-1.127819955,0.001797213,WT_Silent
-1.12561985,0.001930901,WT_Silent
-1.123419744,0.002074053,WT_Silent
-1.121219639,0.00222276,WT_Silent
-1.119019534,0.002386009,WT_Silent
-1.116819428,0.002556257,WT_Silent
-1.114619323,0.002739266,WT_Silent
-1.112419217,0.002927234,WT_Silent
-1.110219112,0.003129432,WT_Silent
-1.108019007,0.003335997,WT_Silent
-1.105818901,0.003558308,WT_Silent
-1.103618796,0.003784307,WT_Silent
-1.10141869,0.004027606,WT_Silent
-1.099218585,0.004273834,WT_Silent
-1.09701848,0.004544648,WT_Silent
-1.094818374,0.004818187,WT_Silent
-1.092618269,0.005113257,WT_Silent
-1.090418163,0.005409576,WT_Silent
-1.088218058,0.005728132,WT_Silent
-1.086017953,0.00604771,WT_Silent
-1.083817847,0.006389233,WT_Silent
-1.081617742,0.006732596,WT_Silent
-1.079417637,0.007097053,WT_Silent
-1.077217531,0.007465098,WT_Silent
-1.075017426,0.00785821,WT_Silent
-1.07281732,0.00825544,WT_Silent
-1.070617215,0.008672741,WT_Silent
-1.06841711,0.009094789,WT_Silent
-1.066217004,0.009534143,WT_Silent
-1.064016899,0.009979069,WT_Silent
-1.061816793,0.010439832,WT_Silent
-1.059616688,0.010906894,WT_Silent
-1.057416583,0.011388291,WT_Silent
-1.055216477,0.011877895,WT_Silent
-1.053016372,0.012382723,WT_Silent
-1.050816266,0.012895224,WT_Silent
-1.048616161,0.013419462,WT_Silent
-1.046416056,0.013950654,WT_Silent
-1.04421595,0.014490687,WT_Silent
-1.042015845,0.0150376,WT_Silent
-1.039815739,0.015591809,WT_Silent
-1.037615634,0.016152622,WT_Silent
-1.035415529,0.016719283,WT_Silent
-1.033215423,0.017292774,WT_Silent
-1.031015318,0.017871306,WT_Silent
-1.028815212,0.018454925,WT_Silent
-1.026615107,0.019041659,WT_Silent
-1.024415002,0.019631452,WT_Silent
-1.022214896,0.020222785,WT_Silent
-1.020014791,0.020815867,WT_Silent
-1.017814685,0.021409662,WT_Silent
-1.01561458,0.022003697,WT_Silent
-1.013414475,0.02259781,WT_Silent
-1.011214369,0.023189873,WT_Silent
-1.009014264,0.023781424,WT_Silent
-1.006814158,0.024367661,WT_Silent
-1.004614053,0.024952927,WT_Silent
-1.002413948,0.025531252,WT_Silent
-1.000213842,0.026108722,WT_Silent
-0.998013737,0.026677202,WT_Silent
-0.995813632,0.027245061,WT_Silent
-0.993613526,0.027801821,WT_Silent
-0.991413421,0.028357993,WT_Silent
-0.989213315,0.028900125,WT_Silent
-0.98701321,0.029440966,WT_Silent
-0.984813105,0.029964768,WT_Silent
-0.982612999,0.030486686,WT_Silent
-0.980412894,0.030994176,WT_Silent
-0.978212788,0.031498937,WT_Silent
-0.976012683,0.031989416,WT_Silent
-0.973812578,0.032476295,WT_Silent
-0.971612472,0.032949249,WT_Silent
-0.969412367,0.033417457,WT_Silent
-0.967212261,0.033871463,WT_Silent
-0.965012156,0.034318863,WT_Silent
-0.962812051,0.034750515,WT_Silent
-0.960611945,0.035176324,WT_Silent
-0.95841184,0.035590818,WT_Silent
-0.956211734,0.035998986,WT_Silent
-0.954011629,0.036397071,WT_Silent
-0.951811524,0.036788493,WT_Silent
-0.949611418,0.037171099,WT_Silent
-0.947411313,0.037546732,WT_Silent
-0.945211207,0.037914673,WT_Silent
-0.943011102,0.038274364,WT_Silent
-0.940810997,0.038626454,WT_Silent
-0.938610891,0.038973018,WT_Silent
-0.936410786,0.039315335,WT_Silent
-0.93421068,0.039652867,WT_Silent
-0.932010575,0.039987348,WT_Silent
-0.92981047,0.040318032,WT_Silent
-0.927610364,0.040646721,WT_Silent
-0.925410259,0.040972862,WT_Silent
-0.923210154,0.041297913,WT_Silent
-0.921010048,0.041622692,WT_Silent
-0.918809943,0.041947379,WT_Silent
-0.916609837,0.042274724,WT_Silent
-0.914409732,0.042602774,WT_Silent
-0.912209627,0.042935756,WT_Silent
-0.910009521,0.043269709,WT_Silent
-0.907809416,0.043611125,WT_Silent
-0.90560931,0.043953553,WT_Silent
-0.903409205,0.044306236,WT_Silent
-0.9012091,0.044659742,WT_Silent
-0.899008994,0.045031442,WT_Silent
-0.896808889,0.045404,WT_Silent
-0.894608783,0.045795895,WT_Silent
-0.892408678,0.046189097,WT_Silent
-0.890208573,0.046602548,WT_Silent
-0.888008467,0.047018559,WT_Silent
-0.885808362,0.047456238,WT_Silent
-0.883608256,0.047897971,WT_Silent
-0.881408151,0.048362549,WT_Silent
-0.879208046,0.048834475,WT_Silent
-0.87700794,0.0493366,WT_Silent
-0.874807835,0.049847744,WT_Silent
-0.872607729,0.05038734,WT_Silent
-0.870407624,0.050937631,WT_Silent
-0.868207519,0.051514655,WT_Silent
-0.866007413,0.052104942,WT_Silent
-0.863807308,0.052722066,WT_Silent
-0.861607202,0.053355259,WT_Silent
-0.859407097,0.054015153,WT_Silent
-0.857206992,0.054698262,WT_Silent
-0.855006886,0.055413334,WT_Silent
-0.852806781,0.056154712,WT_Silent
-0.850606676,0.056926264,WT_Silent
-0.84840657,0.057725029,WT_Silent
-0.846206465,0.058549861,WT_Silent
-0.844006359,0.059405766,WT_Silent
-0.841806254,0.060286506,WT_Silent
-0.839606149,0.0612024,WT_Silent
-0.837406043,0.062141653,WT_Silent
-0.835205938,0.063126961,WT_Silent
-0.833005832,0.064137529,WT_Silent
-0.830805727,0.065200602,WT_Silent
-0.828605622,0.066287176,WT_Silent
-0.826405516,0.067423908,WT_Silent
-0.824205411,0.068578648,WT_Silent
-0.822005305,0.069788308,WT_Silent
-0.8198052,0.071013384,WT_Silent
-0.817605095,0.072298237,WT_Silent
-0.815404989,0.073595698,WT_Silent
-0.813204884,0.074965832,WT_Silent
-0.811004778,0.076346744,WT_Silent
-0.808804673,0.077812255,WT_Silent
-0.806604568,0.07928554,WT_Silent
-0.804404462,0.080834116,WT_Silent
-0.802204357,0.082386223,WT_Silent
-0.800004251,0.084016998,WT_Silent
-0.797804146,0.085651825,WT_Silent
-0.795604041,0.087362241,WT_Silent
-0.793403935,0.089080934,WT_Silent
-0.79120383,0.090877667,WT_Silent
-0.789003724,0.092688233,WT_Silent
-0.786803619,0.09458314,WT_Silent
-0.784603514,0.096492505,WT_Silent
-0.782403408,0.098465179,WT_Silent
-0.780203303,0.100455428,WT_Silent
-0.778003197,0.10250421,WT_Silent
-0.775803092,0.104573433,WT_Silent
-0.773602987,0.106696296,WT_Silent
-0.771402881,0.108843102,WT_Silent
-0.769202776,0.111040568,WT_Silent
-0.767002671,0.113269278,WT_Silent
-0.764802565,0.115552118,WT_Silent
-0.76260246,0.117860214,WT_Silent
-0.760402354,0.120204508,WT_Silent
-0.758202249,0.122574801,WT_Silent
-0.756002144,0.124976112,WT_Silent
-0.753802038,0.127403609,WT_Silent
-0.751601933,0.12985719,WT_Silent
-0.749401827,0.132336678,WT_Silent
-0.747201722,0.13483771,WT_Silent
-0.745001617,0.13736904,WT_Silent
-0.742801511,0.139921338,WT_Silent
-0.740601406,0.142492917,WT_Silent
-0.7384013,0.14507553,WT_Silent
-0.736201195,0.147674583,WT_Silent
-0.73400109,0.150281338,WT_Silent
-0.731800984,0.152901102,WT_Silent
-0.729600879,0.155525774,WT_Silent
-0.727400773,0.158159433,WT_Silent
-0.725200668,0.16079576,WT_Silent
-0.723000563,0.163435064,WT_Silent
-0.720800457,0.166075038,WT_Silent
-0.718600352,0.168709767,WT_Silent
-0.716400246,0.17134365,WT_Silent
-0.714200141,0.17396698,WT_Silent
-0.712000036,0.176589216,WT_Silent
-0.70979993,0.179195502,WT_Silent
-0.707599825,0.181800967,WT_Silent
-0.705399719,0.184384973,WT_Silent
-0.703199614,0.186967501,WT_Silent
-0.700999509,0.189517524,WT_Silent
-0.698799403,0.192064638,WT_Silent
-0.696599298,0.194580879,WT_Silent
-0.694399193,0.197092698,WT_Silent
-0.692199087,0.199575211,WT_Silent
-0.689998982,0.202051581,WT_Silent
-0.687798876,0.204499213,WT_Silent
-0.685598771,0.206939027,WT_Silent
-0.683398666,0.2093513,WT_Silent
-0.68119856,0.211752423,WT_Silent
-0.678998455,0.214122801,WT_Silent
-0.676798349,0.216482321,WT_Silent
-0.674598244,0.218817804,WT_Silent
-0.672398139,0.221143465,WT_Silent
-0.670198033,0.223451373,WT_Silent
-0.667997928,0.225749957,WT_Silent
-0.665797822,0.228034626,WT_Silent
-0.663597717,0.230311168,WT_Silent
-0.661397612,0.232577624,WT_Silent
-0.659197506,0.234837936,WT_Silent
-0.656997401,0.237091883,WT_Silent
-0.654797295,0.23934575,WT_Silent
-0.65259719,0.241599549,WT_Silent
-0.650397085,0.243858964,WT_Silent
-0.648196979,0.246122425,WT_Silent
-0.645996874,0.248397325,WT_Silent
-0.643796768,0.250679051,WT_Silent
-0.641596663,0.252979023,WT_Silent
-0.639396558,0.25528793,WT_Silent
-0.637196452,0.257628094,WT_Silent
-0.634996347,0.259980641,WT_Silent
-0.632796241,0.26238018,WT_Silent
-0.630596136,0.264794457,WT_Silent
-0.628396031,0.267260382,WT_Silent
-0.626195925,0.269738718,WT_Silent
-0.62399582,0.272279264,WT_Silent
-0.621795715,0.274830679,WT_Silent
-0.619595609,0.277455411,WT_Silent
-0.617395504,0.280088628,WT_Silent
-0.615195398,0.282816468,WT_Silent
-0.612995293,0.28555021,WT_Silent
-0.610795188,0.288406783,WT_Silent
-0.608595082,0.291268517,WT_Silent
-0.606394977,0.294237108,WT_Silent
-0.604194871,0.297214506,WT_Silent
-0.601994766,0.300298501,WT_Silent
-0.599794661,0.303397027,WT_Silent
-0.597594555,0.306600793,WT_Silent
-0.59539445,0.309826421,WT_Silent
-0.593194344,0.31316162,WT_Silent
-0.590994239,0.316530468,WT_Silent
-0.588794134,0.320024872,WT_Silent
-0.586594028,0.32355197,WT_Silent
-0.584393923,0.327173903,WT_Silent
-0.582193817,0.330834115,WT_Silent
-0.579993712,0.334583067,WT_Silent
